Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,205.58125,-37.30625,0.0,bottom
C2,1uF,C_0603_1608Metric,204.0125,-44.45,0.0,bottom
C3,4.7uF,C_0603_1608Metric,204.0125,-46.0375,180.0,bottom
C4,1uF,C_0603_1608Metric,204.0125,-48.41875,180.0,bottom
C5,100nF,C_0603_1608Metric,198.948931,-65.077829,270.0,bottom
C6,100nF,C_0603_1608Metric,192.526431,-53.984079,0.0,bottom
C7,100nF,C_0603_1608Metric,204.521075,-65.078146,270.0,bottom
C8,100nF,C_0603_1608Metric,208.401431,-60.749257,180.0,bottom
C9,100nF,C_0603_1608Metric,204.0125,-50.00625,180.0,bottom
C10,100nF,C_0603_1608Metric,200.536431,-65.077829,270.0,bottom
D1,D_Small,D_SOD-123F,41.275,-30.1625,90.0,bottom
D2,D_Small,D_SOD-123F,60.325,-30.1625,90.0,bottom
D3,D_Small,D_SOD-123F,79.375,-30.1625,90.0,bottom
D4,D_Small,D_SOD-123F,98.425,-30.1625,90.0,bottom
D5,D_Small,D_SOD-123F,117.475,-30.1625,90.0,bottom
D6,D_Small,D_SOD-123F,136.525,-30.1625,90.0,bottom
D7,D_Small,D_SOD-123F,155.575,-30.1625,90.0,bottom
D8,D_Small,D_SOD-123F,174.625,-30.1625,90.0,bottom
D9,D_Small,D_SOD-123F,193.675,-30.1625,90.0,bottom
D10,D_Small,D_SOD-123F,207.16875,-34.13125,270.0,bottom
D11,D_Small,D_SOD-123F,41.275,-49.2125,90.0,bottom
D12,D_Small,D_SOD-123F,60.325,-49.2125,90.0,bottom
D13,D_Small,D_SOD-123F,79.375,-49.2125,90.0,bottom
D14,D_Small,D_SOD-123F,98.425,-49.2125,90.0,bottom
D15,D_Small,D_SOD-123F,117.475,-49.2125,90.0,bottom
D16,D_Small,D_SOD-123F,136.525,-49.2125,90.0,bottom
D17,D_Small,D_SOD-123F,155.575,-49.2125,90.0,bottom
D18,D_Small,D_SOD-123F,174.625,-49.2125,90.0,bottom
D19,D_Small,D_SOD-123F,193.675,-49.2125,90.0,bottom
D20,D_Small,D_SOD-123F,215.10625,-49.2125,90.0,bottom
D21,D_Small,D_SOD-123F,41.275,-68.2625,90.0,bottom
D22,D_Small,D_SOD-123F,60.325,-68.2625,90.0,bottom
D23,D_Small,D_SOD-123F,79.375,-68.2625,90.0,bottom
D24,D_Small,D_SOD-123F,98.425,-68.2625,90.0,bottom
D25,D_Small,D_SOD-123F,117.475,-68.2625,90.0,bottom
D26,D_Small,D_SOD-123F,136.525,-68.2625,90.0,bottom
D27,D_Small,D_SOD-123F,155.575,-68.2625,90.0,bottom
D28,D_Small,D_SOD-123F,174.625,-68.2625,90.0,bottom
D29,D_Small,D_SOD-123F,193.675,-68.2625,90.0,bottom
D30,D_Small,D_SOD-123F,215.10625,-68.2625,90.0,bottom
D31,D_Small,D_SOD-123F,41.275,-87.3125,90.0,bottom
D32,D_Small,D_SOD-123F,60.325,-87.3125,90.0,bottom
D33,D_Small,D_SOD-123F,79.375,-87.3125,90.0,bottom
D34,D_Small,D_SOD-123F,110.33125,-87.3125,90.0,bottom
D35,D_Small,D_SOD-123F,150.8125,-87.3125,90.0,bottom
D36,D_Small,D_SOD-123F,179.3875,-87.3125,90.0,bottom
D37,D_Small,D_SOD-123F,198.4375,-87.3125,90.0,bottom
D38,D_Small,D_SOD-123F,217.4875,-87.3125,90.0,bottom
D_PWR1,SMF9.0CA,D_SOD-123,198.4375,-34.13125,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,204.7875,-34.13125,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,211.93125,-22.225,180.0,bottom
J3,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,173.83125,-38.475,90.0,bottom
R1,5k1,R_0603_1608Metric,204.7875,-25.4,270.0,bottom
R2,5k1,R_0603_1608Metric,219.075,-25.4,270.0,bottom
R3,10k,R_0603_1608Metric,216.69375,-56.325,90.0,bottom
SW1,SKQGABE010,SW_SPST_SKQG_WithoutStem,220.6625,-56.35625,90.0,bottom
U1,USBLC6-2SC6,SOT-23-6,201.6125,-30.95625,90.0,bottom
U2,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,200.626431,-57.352829,90.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,204.80625,-41.275,90.0,bottom
